"Timestamp","TC ID","What is your gender?","Which country are you taking your online classes from presently?","On average, how many hours do you spend ﻿on your academic per week?","On average, how many hours do you spend ﻿on extracurricular activities per week?","What technology do you use for online learning? ","What  is  your connection speed while taking online classes?","Do you enjoy arts and crafts activities?","Do you personally find origami to be a relaxing activity?","How engaging was the lesson? Do you think the video format works for online origami classes?","Would you have preferred this online origami class in a different format? If so, what do you suggest?","How did you find the instruction/directions of the session?","How motivated were you in completing the origami?","Did you complete both the origami, and if you did not, at what point did you stop?","If you stopped the activity within the assigned 20 minutes, why did you stop? (e.g. lack of motivation, difficulty levels, etc) ","Which format would be most joyful for an Origami class, in your opinion? (Under non-pandemic conditions)","What would potentially stop you from taking an online origami class?","Please insert a photograph of your origami butterfly.","Please insert a photograph of your origami frog.","","","","","","","","","","","","",""
"2021/05/25 8:23:51 PM AST","yw3607","Female","","15+ hours","10-15 hours","Laptop;iPad;Smart phone","Fast. Enough to smoothly  stream video, quickly download large files, etc.","3-5 times per year","Yes, I think so, when I can find time to do it","","","Good match","","","","Asynchronous E-learning","Hard to follow","","","Yes","Very satisfied","I think I might feel less stressed, but only for a short time","No","Agree","Agree","Maybe I’m not good at it :(","Agree","Cable modem","Agree","Extremely comfortable","Neutral","Somewhat satisfied"
"2021/05/27 8:16:06 AM AST","hv3214","Female","U.S.","5-10 hours","5-10 hours","Desktop PC;Laptop","Fast. Enough to smoothly  stream video, quickly download large files, etc.","I love Arts and Crafts activities","Yes, I think so, when I can find time to do it","The session was very interesting and the videos helped","Maybe we can do it together","Very clear","I focussed on enjoying the activity and complete as much as possible","I completed both (Frog and butterfly)","","Online Group Class","Speed of the class","https://drive.google.com/u/0/open?usp=forms_web&id=1UviMx6ZPUdZ_p8caobwKaYvAOzdfvoaW","https://drive.google.com/u/0/open?usp=forms_web&id=1KaOTcCO5E72cB3p42XIKTEdPLbQAQJEO","","","","","","","","","","","","",""
"2021/05/27 8:17:04 AM AST","jz3248","Male","China","5-10 hours","0-5 hours","Laptop","Fast. Enough to smoothly  stream video, quickly download large files, etc.","I am alright with Arts and Crafts but it is not my favourite hobby","Yes, I think so, when I can find time to do it","The session was very interesting and the videos helped","No","Could have been instructed better","I wanted to ensure I complete both the origami","I completed the Frog alone","","In-Person Group Class","Internet Issue","https://drive.google.com/u/0/open?usp=forms_web&id=1E4U5aJTEmR4wfQL6HE5Hytjc_0eGR-jA","https://drive.google.com/u/0/open?usp=forms_web&id=1L7DtnHcTMR2dvIkhaV_GrNLz_V5deW2F","","","","","","","","","","","","",""
"2021/05/27 8:17:25 AM AST","zjf2003","Male","United States","0-5 hours","0-5 hours","Laptop","Fast. Enough to smoothly  stream video, quickly download large files, etc.","I am alright with Arts and Crafts but it is not my favourite hobby","No, not at all","I just wasn't prepared with square paper but the video format was good","Try to just do one origami","Very clear","I wanted to ensure I complete both the origami","I couldn't complete both","Not the right materials. I only had lined 8.5x11 paper","In-Person Group Class","Lack of interest","https://drive.google.com/u/0/open?usp=forms_web&id=1-VK2HqC_MH8UbiPgOiLMFspO_ocBPRAR","https://drive.google.com/u/0/open?usp=forms_web&id=1QpB3iY9KYPKyZIxuk4Bm68Pjb1cOfUDd","","","","","","","","","","","","",""
"2021/05/27 8:18:40 AM AST","yp2553","Male","China","15+ hours","5-10 hours","Laptop","Fast. Enough to smoothly  stream video, quickly download large files, etc.","I am alright with Arts and Crafts but it is not my favourite hobby","No, not at all","The session was very interesting and the videos helped","No","The instruction confused me","I wanted to perfect how much ever I have completed","I couldn't complete both","","In-person individual class","Web","https://drive.google.com/u/0/open?usp=forms_web&id=1L2dUMShoBftmO8AiU153TEqe-0dGhciL","https://drive.google.com/u/0/open?usp=forms_web&id=1Q6fC2Hlkth1bsSLucrquRupMD2RD7G8p","","","","","","","","","","","","",""
"2021/05/27 8:19:39 AM AST","yz3844","Female","China","15+ hours","10-15 hours","Laptop","Moderate. Enough to get online, checkin, and comfortably browse the web.","I love Arts and Crafts activities","Yes, I think so, when I can find time to do it","The session was interesting but I would have preferred to not have it in the form of a video","no","Very clear","I wanted to ensure I complete both the origami","I completed both (Frog and butterfly)","lack of motivation","In-Person Group Class","lack of motivation","https://drive.google.com/u/0/open?usp=forms_web&id=1bdRbmRWeHBzVDFQo0yxP5VfVV2lHDPbl","https://drive.google.com/u/0/open?usp=forms_web&id=1zBtuSJ3Srt1WdHkMMRfyn3Y-cmu4P0vE","","","","","","","","","","","","",""
"2021/05/27 8:19:52 AM AST","mw3441","Female","china","0-5 hours","0-5 hours","Laptop","Moderate. Enough to get online, checkin, and comfortably browse the web.","I am alright with Arts and Crafts but it is not my favourite hobby","Yes, I think so, when I can find time to do it","The session was interesting but I would have preferred to not have it in the form of a video","in person","Could have been instructed better","I wanted to ensure I complete both the origami","I completed both (Frog and butterfly)","boring","In-Person Group Class","no paper","https://drive.google.com/u/0/open?usp=forms_web&id=1RNMy3DvdyYlyZPqkkYi-ZS0epAcW5Snt","https://drive.google.com/u/0/open?usp=forms_web&id=16eZiSvn8zIAjEK-dwMhoICUphi8U3wDj","","","","","","","","","","","","",""
"2021/05/27 8:21:27 AM AST","mz2807","Female","China","0-5 hours","0-5 hours","Laptop;Smart phone","Moderate. Enough to get online, checkin, and comfortably browse the web.","I love Arts and Crafts activities","Yes, I think so, when I can find time to do it","the topic is interesting but it would be difficult for me to make origami by just watching the video once","a recording video would be better","Could have been instructed better","I focussed on enjoying the activity and complete as much as possible","I completed the Frog alone","difficulty levels","In-Person Group Class","interupt by others/ poor connectivity","https://drive.google.com/u/0/open?usp=forms_web&id=1ImqsPuFd3zO405Bem0hKpdERw-lItKrR","https://drive.google.com/u/0/open?usp=forms_web&id=18wxR50IxRPsJaN8cjuRb1G6880ed2ul3","","","","","","","","","","","","",""
"2021/05/27 8:22:11 AM AST","jy3113","Female","China","5-10 hours","5-10 hours","Laptop","Moderate. Enough to get online, checkin, and comfortably browse the web.","I love Arts and Crafts activities","Yes, I think so, when I can find time to do it","The session was interesting but I would have preferred to not have it in the form of a video","Online","Could have been instructed better","I focussed on enjoying the activity and complete as much as possible","I completed both (Frog and butterfly)","","Online Group Class","time","https://drive.google.com/u/0/open?usp=forms_web&id=19TX7TDpO72AWrdXTNdTWGGYKq1xJPxzi","https://drive.google.com/u/0/open?usp=forms_web&id=1Z2WWvNXaq3VxRYVqjsTqUu2ioQbT5gzF","","","","","","","","","","","","",""
"2021/05/27 8:23:47 AM AST","T00045342","Male","China","10-15 hours","15+ hours","Desktop PC;Laptop;iPad;Smart phone","Fast. Enough to smoothly  stream video, quickly download large files, etc.","I love Arts and Crafts activities","Yes, I think so, when I can find time to do it","The session was interesting but I would have preferred to not have it in the form of a video","More interoperability","Very clear","I focussed on enjoying the activity and complete as much as possible","I completed the Frog alone","lack of motivation","In-Person Group Class","Online meeting","https://drive.google.com/u/0/open?usp=forms_web&id=1-LX6XzjopcK3AFxoJErydDMCsVf51FNA","https://drive.google.com/u/0/open?usp=forms_web&id=1aK38RZAq8vLFWavNJWmrKUXbae-sFKRD","","","","","","","","","","","","",""
